Unnamed: 0,Veículo,grid_origem,grid_destino,dia,contagem
1396,309,75736,51150,Sunday,5
1397,309,75736,51150,Sunday,5
1398,309,75736,51150,Sunday,5
1399,309,75736,51150,Sunday,5
1400,309,75736,51150,Sunday,5
1401,309,75736,51150,Thursday,4
1402,309,75736,51150,Thursday,4
1403,309,75736,51150,Thursday,4
1404,309,75736,51150,Thursday,4
1405,309,75736,51150,Tuesday,2
1406,309,75736,51150,Tuesday,2
1407,309,75736,51972,Friday,7
1408,309,75736,51972,Friday,7
1409,309,75736,51972,Friday,7
1410,309,75736,51972,Friday,7
1411,309,75736,51972,Friday,7
1412,309,75736,51972,Friday,7
1413,309,75736,51972,Friday,7
1414,309,75736,51972,Saturday,5
1415,309,75736,51972,Saturday,5
1416,309,75736,51972,Saturday,5
1417,309,75736,51972,Saturday,5
1418,309,75736,51972,Saturday,5
1419,309,75736,51972,Thursday,4
1420,309,75736,51972,Thursday,4
1421,309,75736,51972,Thursday,4
1422,309,75736,51972,Thursday,4
1423,309,75737,50328,Tuesday,2
1424,309,75737,50328,Tuesday,2
1425,309,75737,51150,Friday,2
1426,309,75737,51150,Friday,2
1427,309,75737,51150,Monday,2
1428,309,75737,51150,Monday,2
1429,309,75737,51150,Saturday,2
1430,309,75737,51150,Saturday,2
1431,309,75737,51150,Tuesday,2
1432,309,75737,51150,Tuesday,2
1433,309,75737,51972,Monday,2
1434,309,75737,51972,Monday,2
1435,309,75737,51972,Saturday,2
1436,309,75737,51972,Saturday,2
1437,309,78354,50328,Tuesday,2
1438,309,78354,50328,Tuesday,2
1439,309,78354,50328,Wednesday,7
1440,309,78354,50328,Wednesday,7
1441,309,78354,50328,Wednesday,7
1442,309,78354,50328,Wednesday,7
1443,309,78354,50328,Wednesday,7
1444,309,78354,50328,Wednesday,7
1445,309,78354,50328,Wednesday,7
1446,309,78354,51150,Wednesday,3
1447,309,78354,51150,Wednesday,3
1448,309,78354,51150,Wednesday,3
1449,309,78354,51972,Wednesday,2
1450,309,78354,51972,Wednesday,2
1468,323,50302,75312,Thursday,2
1469,323,50302,75312,Thursday,2
1470,323,50738,71961,Friday,2
1471,323,50738,71961,Friday,2
1472,323,50738,75312,Sunday,3
1473,323,50738,75312,Sunday,3
1474,323,50738,75312,Sunday,3
1475,323,50739,75312,Thursday,2
1476,323,50739,75312,Thursday,2
1477,323,50744,75312,Saturday,2
1478,323,50744,75312,Saturday,2
1479,323,50744,75312,Thursday,2
1480,323,50744,75312,Thursday,2
1481,323,51147,75312,Friday,2
1482,323,51147,75312,Friday,2
1483,323,75312,50738,Friday,7
1484,323,75312,50738,Friday,7
1485,323,75312,50738,Friday,7
1486,323,75312,50738,Friday,7
1487,323,75312,50738,Friday,7
1488,323,75312,50738,Friday,7
1489,323,75312,50738,Friday,7
1490,323,75312,50738,Monday,7
1491,323,75312,50738,Monday,7
1492,323,75312,50738,Monday,7
1493,323,75312,50738,Monday,7
1494,323,75312,50738,Monday,7
1495,323,75312,50738,Monday,7
1496,323,75312,50738,Monday,7
1497,323,75312,50738,Saturday,3
1498,323,75312,50738,Saturday,3
1499,323,75312,50738,Saturday,3
1500,323,75312,50738,Sunday,8
1501,323,75312,50738,Sunday,8
1502,323,75312,50738,Sunday,8
1503,323,75312,50738,Sunday,8
1504,323,75312,50738,Sunday,8
1505,323,75312,50738,Sunday,8
1506,323,75312,50738,Sunday,8
1507,323,75312,50738,Sunday,8
1508,323,75312,50738,Thursday,7
1509,323,75312,50738,Thursday,7
1510,323,75312,50738,Thursday,7
1511,323,75312,50738,Thursday,7
1512,323,75312,50738,Thursday,7
1513,323,75312,50738,Thursday,7
1514,323,75312,50738,Thursday,7
1515,323,75312,50738,Tuesday,11
1516,323,75312,50738,Tuesday,11
1517,323,75312,50738,Tuesday,11
1518,323,75312,50738,Tuesday,11
1519,323,75312,50738,Tuesday,11
1520,323,75312,50738,Tuesday,11
1521,323,75312,50738,Tuesday,11
1522,323,75312,50738,Tuesday,11
1523,323,75312,50738,Tuesday,11
1524,323,75312,50738,Tuesday,11
1525,323,75312,50738,Tuesday,11
1526,323,75312,50738,Wednesday,6
1527,323,75312,50738,Wednesday,6
1528,323,75312,50738,Wednesday,6
1529,323,75312,50738,Wednesday,6
1530,323,75312,50738,Wednesday,6
1531,323,75312,50738,Wednesday,6
1532,323,75312,50743,Friday,2
1533,323,75312,50743,Friday,2
1534,323,75312,50745,Saturday,3
1535,323,75312,50745,Saturday,3
1536,323,75312,50745,Saturday,3
1537,323,75312,51147,Saturday,2
1538,323,75312,51147,Saturday,2
1539,323,75312,51147,Tuesday,2
1540,323,75312,51147,Tuesday,2
1541,323,75312,51147,Wednesday,2
1542,323,75312,51147,Wednesday,2
1543,323,75312,51558,Tuesday,2
1544,323,75312,51558,Tuesday,2
1545,323,75312,51968,Monday,2
1546,323,75312,51968,Monday,2
1547,323,75736,50738,Friday,2
1548,323,75736,50738,Friday,2
1549,323,75736,50738,Monday,4
1550,323,75736,50738,Monday,4
1551,323,75736,50738,Monday,4
1552,323,75736,50738,Monday,4
