,VehId,tile_ID_x,tile_ID_y,day_x,contagem
4809,309,78354,51150,Wednesday,3
4810,309,78354,51972,Wednesday,2
4867,311,64033,75313,Friday,4
4868,311,64033,75313,Saturday,4
4869,311,64033,75313,Sunday,2
4870,311,64033,75313,Thursday,2
4874,311,64034,75313,Saturday,3
4884,311,75334,34449,Friday,2
4939,323,50302,75312,Thursday,2
4943,323,50738,71961,Friday,2
4944,323,50738,75312,Sunday,3
4949,323,50739,75312,Thursday,2
4953,323,50744,75312,Saturday,2
4954,323,50744,75312,Thursday,2
4960,323,51147,75312,Friday,2
4994,323,75312,50738,Friday,7
4995,323,75312,50738,Monday,7
4996,323,75312,50738,Saturday,3
4997,323,75312,50738,Sunday,8
4998,323,75312,50738,Thursday,7
4999,323,75312,50738,Tuesday,11
5000,323,75312,50738,Wednesday,6
5001,323,75312,50743,Friday,2
5003,323,75312,50745,Saturday,3
5005,323,75312,51147,Saturday,2
5008,323,75312,51147,Tuesday,2
5009,323,75312,51147,Wednesday,2
5012,323,75312,51558,Tuesday,2
5013,323,75312,51968,Monday,2
5022,323,75736,50738,Friday,2
5023,323,75736,50738,Monday,4
5025,323,75736,50738,Thursday,3
5048,340,20542,26204,Tuesday,3
5051,340,20542,29711,Monday,2
5072,340,21627,39323,Tuesday,2
5086,340,21628,39319,Thursday,2
5088,340,21628,39319,Wednesday,3
5090,340,21628,39323,Monday,4
5091,340,21628,39323,Saturday,6
5092,340,21628,39323,Thursday,3
5093,340,21628,39323,Tuesday,9
5094,340,21628,39323,Wednesday,5
5099,340,21628,41349,Monday,2
5102,340,21628,41349,Thursday,2
5106,340,21628,41755,Friday,2
5109,340,21628,42973,Tuesday,2
5138,340,26204,20542,Tuesday,2
5148,340,29701,21628,Friday,5
5149,340,29701,21628,Monday,3
5151,340,29701,21628,Thursday,2
5152,340,29701,21628,Tuesday,4
5169,340,37298,21628,Thursday,2
5171,340,37298,22001,Wednesday,2
5176,340,38105,21628,Friday,2
5178,340,38105,21628,Thursday,2
5183,340,39319,21628,Saturday,2
5185,340,39319,21628,Wednesday,2
5193,340,39320,21628,Wednesday,2
5200,340,41347,21628,Tuesday,2
5202,340,41753,21628,Friday,2
5204,340,42530,21628,Monday,2
5239,340,56959,21628,Monday,2
5242,340,61891,21628,Friday,2
5243,340,61891,22001,Thursday,2
5259,340,78321,21628,Monday,2
